Name,Gender,Race,First Appeared,Sexuality,Confirmed LGBT,Morality,Race and Gender,Gender and Sexuality,Sexuality and Race,"Gender, Race, and Sexuality",Role
Ajak,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Algrim,Men,POC,2013,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Liz Allan,Women,POC,2017,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Ammit,Women,POC,2022,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Ancient One,Women,White,2016,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Arishem,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Axl,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Ayesha,Women,White,2017,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Ayo,Women,POC,2016,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Hunter B-15,Women,POC,2021,Straight,,Neutral,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Nakia Bahadir,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Abu Bakaar,Men,POC,2008,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Bruce Banner,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Bucky Barnes,Men,White,2011,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Clint Barton,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Laura Barton,Women,White,2015,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Georges Batroc,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Quentin Beck,Men,White,2019,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Yelena Belova,Women,White,2021,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Derek Bishop,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Elenor Bishop,Women,White,2021,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Kate Bishop,Women,White,2021,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Emil Blonsky,Men,White,2008,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Elsa Bloodstone,Women,White,2022,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Verussa Bloodstone,Women,White,2022,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Ralph Bohner,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Blackagar Boltagon,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Mallory Book,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Isaiah Bradley,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Betty Brant,Women,White,2017,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Jackson Brice,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Eddie Brock,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Sonny Burch,Men,White,2018,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Carina,Women,White,2013,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Bruno Carrelli,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Mitchell Carson,Men,White,2015,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
