movie,release_date,release_order,phase,running_time,budget,box_office,rt_critic_score,rt_audience_score,characters,Gender Rating,Gender Rank,Race Rating,Race Rank,Sexuality Rating,Sexuality Rank,Overall Rating,Overall Rank
Iron Man,2-May-08,1,1,126,140,585.8,94,91,"Abu Bakaar, Ahmed, Allen, Amira Ahmed, Nick Fury, Omar, Pepper Potts, Phil Coulson, Pratt, Christine Everhart, Colonel Craig, David Owens, Ghostface Killah, Giorgio, Ralph Mays, Ramirez, Raza, Ronald Coultrap, Happy Hogan, Ho Yinsen, Howard Stark, Scott Campbell, Sullivian, Trixie, Tony Stark, Iron Man, Iron Monger, Obadiah Stane, J.A.R.V.I.S., Jim Cramer, Airman Jimmy, War Machine, James Rhodes, Watcher Informant, William Gabriel, William Ginter Riva, Zorianna Kit, Lacy",0.1875,32,0.34375,16,0,10,0.53125,23
The Incredible Hulk,13-Jun-08,2,1,112,137.5,264.8,67,70,"Bruce Banner, Hulk, Emil Blonsky, Abomination, Joe Greller, Roger Harrington, Martina, Jack McGee, Elizabeth Ross, Thaddeus Ross, Leonard Samson, Security Guard, Kathleen Sparr, Tony Stark, Iron Man, Samuel Sterns, Jee-Yun Lee, Stanley Lieber, Watcher Informant, Jim Wilson",0.2352941176,26,0.2352941176,25,0,10,0.4705882353,29
Iron Man 2,7-May-10,3,1,125,170,623.9,72,71,"Adam Goldstein, Allen, Anton Vanko, J.A.R.V.I.S., Jack, Johnny Libatique, Justin Hammer, Bambi Arbogast, Beckman, Bill O'Reilly, Black Widow, Natasha Romanoff, Bucky Barnes, Busard, Larry Ellison, Larson, Lemieux, Meade, Carlino, Chess Roberts, Christiane Amanpour, Christine Everhart, Clements, Pepper Potts, Phil Coulson, Elkin, Elon Musk, Rebeca, Rebecca, Gibson, Goodwin, Spider-Man, Stern, Peter Parker, Happy Hogan, Harper, Howard Stark, Irina, Iron Man, Tony Stark, U.S. Marshal, War Machine, James Rhodes, Watcher Informant, Whiplash, Ivan Vanko",0.25,24,0.15,32,0,10,0.4,31
Thor,6-May-11,4,1,114,150,449.3,77,76,"Thor, Jane Foster, Erik Selvig, Darcy Lewis, Odin, Frigga, Sif, Fandral, Hogun, Volstagg, Heimdall, Laufey, Loki, Grundroth, Hailstrum, The Destroyer, Einherjar Guard, Isabela Alvarez, Jake, Pete, Sleipnir, Hugin, Munin, Bor Burison, Phil Coulson, Jasper Sitwell, DeLancey, Jackson, Clint Barton, Garrett, Cale, Nick Fury, Watcher Informant",0.2,29,0.25,21,0.05,5,0.5,27
Captain America: The First Avenger,22-Jul-11,5,1,124,140,370.6,80,74,"Abraham Erskine, Adolf Hitler, Arnim Zola, Jacques Dernier, James Falsworth, Jan, Jim Morita, Bonnie, Brandt, Bucky Barnes, Lorraine, Captain America, Steve Rogers, Chester Philips, Church Keeper, Connie, Nick Fury, Michael Duffy, Peggy Carter, Dum Dum Dugan, Gabe Jones, Gilmore Hodge, Red Skull, Roeder, Schneider, Synthetic Man, Heinz Kruger, Howard Stark, Hutter, HYDRA Lieutenant, Velt, Watcher Informant, Winter Soldier, Johann Schmidt",0.1428571429,35,0.1071428571,35,0,10,0.25,35
The Avengers,4-May-12,6,1,143,220,"1,519",91,91,"Tony Stark, Iron Man, Steve Rogers, Captain America, Bruce Banner, Hulk, Thor, Natasha Romanoff, Black Widow, Clint Barton, Hawkeye, Loki, Phil Coulson, Maria Hill, Nick Fury, Pepper Potts, J.A.R.V.I.S., The Other, NASA Scientist, Georgi Luchkov, Weaselly Thug, Tall Thug, Calcutta Woman, Jasper Sitwell, Selvig",0.2222222222,28,0.1111111111,34,0.05555555556,4,0.3888888889,33
Iron Man 3,3-May-13,7,2,131,200,"1,215",79,78,"Aldrich Killian, Kelly Osbourne, Bambi Arbogast, Bill Maher, Chad Davis, Matthew Ellis, Maya Hansen, Megan Henderson, Mrs. Davis, David, David Samuels, Drew Grey, Pat Kiernan, Pepper Potts, Ponytail Express, Pritchet, E.J., Ellen Brandt, Eric Savin, Erin, Erin's Brother, Rodriquez, Rose Hill Sheriff, Sweat Shop Agent, Gary, George Kotsiopoulos, Giuliana Rancic, Thomas Richards, Thomas Roberts, Trevor Slattery, Happy Hogun, Harley Keener, Heather, Ho Yinsen, Hulk, Vanessa, War Machine, James Rhodes, Watcher Informant, Wu, Tony Stark, Iron Man, Wu Jiaqi, J.A.R.V.I.S., Jack Taggart, Joan Rivers, Josh Elliott, Bruce Banner",0.3170731707,12,0.1707317073,31,0,10,0.487804878,28
Thor: The Dark World,8-Nov-13,8,2,112,150,644.8,66,75,"Bor Burison, Carina, Collector, Kronan Marauder, Kurse, Loki, Darcy Lewis, Maddie, Malekith, Thor, Einherjar Guard, Einherjar Lieutenant, Eir, Erik Selvig, Navid, Fandral, Frigga, Odin, Heimdall, Hildegund, Hogun, Horned Marauder, Sif, Steve Scott, Tyr, Ian Boothby, John, Volstagg, Watcher Informant, Taneleer Tivan ""Collector"", Algrim",0.2592592593,23,0.2222222222,26,0.03703703704,8,0.5185185185,24
Captain America: The Winter Soldier,4-Apr-14,9,2,136,170,714.4,90,92,"Aaron, Alexander Pierce, Anderson, Arnim Zola, Maria Hill, Michael Duffy, Moore, Baron Strucker, Black Widow, Natasha Romanoff, Bobbitt, Nick Fury, C. Bryant, Cameron Klein, Captain America, Steve Rogers, Chao Yen, Crossbones, P. Wenham, Pamela Hawley, Peggy Carter, Quicksilver, Douglas Rockwell, Renata, Riley, Russo, Ferdinand Lopez, Fine, Garcia, Georges Batroc, Gerald Durand, S. Scudder, Scarlet Witch, Wanda Maximoff, Pietro Maximoff, Sharon Carter, Stern, J. Sandell, Jack Rollins, Jakuna Singh, Jasper Sitwell, Watcher Informant, Bucky Barnes, Winter Soldier, Wonsik, Brock Rumlow",0.1666666667,33,0.1944444444,30,0,10,0.3611111111,34
Guardians of the Galaxy,1-Aug-14,10,2,122,232.3,772.8,92,92,"Bereet, Broker, Carina, Taneleer Tivan ""Collector"", Cosmo, Meredith Quill, Moloka Dar, Drax, Duranna, Nebula, Fitzgibbon, Rhomann Dey, Rocket, Ronan the Accuser, Star-Lord, Peter Quill, Horuz, Thanos, The Other, Ti Asha, Irani Rael, Karman-Kan, Korath, Kraglin Obfonteri, Vorker, Watcher Informant, Yondu Udonta, Gamora, Garthan Saal, Groot",0.3214285714,10,0.2142857143,28,0,10,0.5357142857,22
