Name,Gender,Race,First Appeared,Sexuality,Confirmed LGBT,Morality,Race and Gender,Gender and Sexuality,Sexuality and Race,"Gender, Race, and Sexuality",Role
Amira Ahmed,Women,POC,2008,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Ahmed,Men,POC,2008,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Allen,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Busard,Men,White,2010,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Scott Campbell,Men,POC,2008,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Carlino,Women,White,2010,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Noel Chevalier,Men,White,2010,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Chess Roberts,Women,POC,2010,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Ronald Coultrap,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Craig,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Jim Cramer,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Giorgio,Men,POC,2008,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Ghostface Killah,Men,POC,2008,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Ralph Mays,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Omar,Men,POC,2008,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
David Owens,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Pratt,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Ramirez,Women,POC,2008,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Sullivian,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Trixie,Women,White,2008,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Watcher Informant,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Jimmy,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
William Gabriel,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Lacy,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Zorianna Kit,Women,White,2008,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Martina,Women,POC,2008,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Jack McGee,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Joe Greller,Men,POC,2008,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Elizabeth Ross,Women,White,2008,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Richard Jones,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Leonard Samson,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Security Guard,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
